Lp.;Nazwa łacińska;Nazwa polska;Występowanie w środowisku przyrodniczym w Polsce;Kategoria stopnia inwazyjności;Kategoria stopnia rozprzestrzenienia;Mapa występowania w Geoserwisie GDOŚ
1.;Acer negundo;Klon jesionolistny;TAK;mało inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=46
2.;Ailanthus altissima;Bożodrzew gruczołowaty;TAK;bardzo inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=27
3.;Aix galericulata;Mandarynka;TAK;mało inwazyjny gatunek obcy;populacja(e) izolowana(e);http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=57
4.;Alopochen aegyptiacus;Gęsiówka egipska;TAK;bardzo inwazyjny gatunek obcy;populacja(e) izolowana(e);http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=36
5.;Alternanthera philoxeroides;;NIE;średnio inwazyjny gatunek obcy;gatunek nie występuje w Polsce;
6.;Ambrosia artemisiifolia;Ambrozja bylicolistna;TAK;bardzo inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=14
7.;Ameiurus nebulosus;Sumik karłowaty;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=94
8.;Amelanchier spicata;Świdośliwa kłosowa;TAK;mało inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=99
9.;Arion distinctus;Ślinik zmienny;TAK;mało inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=98
10.;Arion lusitanicus;Ślinik luzytański;TAK;mało inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=97
11.;Asclepias syriaca;Trojeść amerykańska;TAK;mało inwazyjny gatunek obcy;ograniczony zasięg występowania;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=102
12.;Aster novi-belgii;Aster nowobelgijski;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=15
13.;Axis axis;Jeleń aksis;NIE;średnio inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
14.;Azolla filiculoides;Azolla drobna;TAK;średnio inwazyjny gatunek obcy;ograniczony zasięg występowania;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=16
15.;Baccharis halimifolia;Komarnik wirginijski;NIE;mało inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
16.;Bidens frondosa;Uczep amerykański;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=105
17.;Bison bison;Bizon;NIE;bardzo inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
18.;Branta canadensis;Bernikla kanadyjska;TAK;bardzo inwazyjny gatunek obcy;populacja(e) izolowana(e);http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=24
19.;Bromus carinatus;Stokłosa spłaszczona;TAK;mało inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=93
20.;Cabomba caroliniana;Kabomba karolińska;TAK;bardzo inwazyjny gatunek obcy;ograniczony zasięg występowania;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=45
21.;Callosciurus erythraeus;Wiewiórczak rdzawobrzuchy;NIE;mało inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
22.;Castor canadensis;Bóbr kanadyjski;NIE;średnio inwazyjny gatunek obcy;gatunek nie występuje w Polsce;
23.;Celastrus orbiculatus;Dławisz okrągłolistny;TAK;średnio inwazyjny gatunek obcy;ograniczony zasięg występowania;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=360
24.;Cervus canadensis;Wapiti;NIE;bardzo inwazyjny gatunek obcy;gatunek nie występuje w Polsce;
25.;Cervus elaphus sibiricus;Maral;NIE;mało inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
26.;Cervus nippon;Jeleń sika;TAK;bardzo inwazyjny gatunek obcy;populacja(e) izolowana(e);http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=41
27.;Chelydra serpentina;Żółw jaszczurowaty;TAK;średnio inwazyjny gatunek obcy;populacja(e) izolowana(e);http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=115
28.;Chrysemys picta;Żółw malowany;TAK;średnio inwazyjny gatunek obcy;populacja(e) izolowana(e);http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=116
29.;Clematis vitalba;Powojnik pnący;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=77
30.;Corbicula fluminalis;;TAK;nieinwazyjny gatunek obcy;ograniczony zasięg występowania - kategoria 3;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=12
31.;Corbicula fluminea;;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=13
