latin_name,polish_name,english_name,invasiveness,points
Acer negundo,Klon jesionolistny,Boxelder maple,mało inwazyjny gatunek obcy,3
Ailanthus altissima,Bożodrzew gruczołowaty,Tree of heaven,bardzo inwazyjny gatunek obcy,5
Alternanthera philoxeroides,,Alligator weed,średnio inwazyjny gatunek obcy,4
Ambrosia artemisiifolia,Ambrozja bylicolistna,Common ragweed,bardzo inwazyjny gatunek obcy,5
Amelanchier spicata,Świdośliwa kłosowa,Low juneberry,mało inwazyjny gatunek obcy,3
Asclepias syriaca,Trojeść amerykańska,Common milkweed,mało inwazyjny gatunek obcy,3
Aster novi-belgii,Aster nowobelgijski,New York aster,średnio inwazyjny gatunek obcy,4
Azolla filiculoides,Azolla drobna,Water fern,średnio inwazyjny gatunek obcy,4
Baccharis halimifolia,Komarnik wirginijski,Eastern baccharis,mało inwazyjny gatunek obcy,3
Bidens frondosa,Uczep amerykański,Devil's beggarticks,średnio inwazyjny gatunek obcy,4
Bromus carinatus,Stokłosa spłaszczona,California brome,mało inwazyjny gatunek obcy,3
Cabomba caroliniana,Kabomba karolińska,Carolina fanwort,bardzo inwazyjny gatunek obcy,5
Celastrus orbiculatus,Dławisz okrągłolistny,Oriental bittersweet,średnio inwazyjny gatunek obcy,4
Clematis vitalba,Powojnik pnący,Old man's beard,średnio inwazyjny gatunek obcy,4
Cornus sericea,Dereń rozłogowy,Red osier dogwood,średnio inwazyjny gatunek obcy,4
Crassula helmsii,Grubosz Helmsa,New Zealand pigmyweed,mało inwazyjny gatunek obcy,3
Echinocystis lobata,Kolczurka klapowana,Wild cucumber,średnio inwazyjny gatunek obcy,4
Eichhornia crassipes,Eichornia gruboogonkowa,Water hyacinth,mało inwazyjny gatunek obcy,3
Elodea canadensis,Moczarka kanadyjska,Canadian waterweed,mało inwazyjny gatunek obcy,3
Elodea nuttallii,Moczarka delikatna,Nuttall's waterweed,średnio inwazyjny gatunek obcy,4
Eragrostis albensis,Miłka połabska,Elbe lovegrass,mało inwazyjny gatunek obcy,3
Fraxinus pennsylvanica,Jesion pensylwański,Green ash,mało inwazyjny gatunek obcy,3
Gunnera tinctoria,Gunera chilijska,Giant rhubarb,mało inwazyjny gatunek obcy,3
Helianthus tuberosus,Słonecznik bulwiasty,Jerusalem artichoke,średnio inwazyjny gatunek obcy,4
Heracleum mantegazzianum,Barszcz Mantegazziego,Giant hogweed,bardzo inwazyjny gatunek obcy,5
Heracleum persicum,Barszcz perski,Persian hogweed,bardzo inwazyjny gatunek obcy,5
Heracleum sosnowskyi,Barszcz Sosnowskiego,Sosnowsky's hogweed,bardzo inwazyjny gatunek obcy,5
Hydrocotyle ranunculoides,Wąkrota jaskrowata,Floating pennywort,średnio inwazyjny gatunek obcy,4
Impatiens capensis,Niecierpek pomarańczowy,Orange jewelweed,średnio inwazyjny gatunek obcy,4
Impatiens glandulifera,Niecierpek gruczołowaty,Himalayan balsam,średnio inwazyjny gatunek obcy,4
Impatiens parviflora,Niecierpek drobnokwiatowy,Small balsam,mało inwazyjny gatunek obcy,3
